ID,Salary
SID10000,2370.605038321098
SID100030,3295.8207866034613
SID100204,5223.502371524688
SID100220,2146.560336376597
SID100230,2205.2977257473285
SID100289,2659.8747522435865
SID100340,2100.948686789194
SID100393,2022.4035944508898
SID100395,4740.20480293425
SID100441,2612.5504370158237
SID100477,3908.6220251554696
SID100546,1643.54404777775
SID10058,4564.333398996735
SID100610,4694.07143680136
SID10063,1970.0921771292567
SID100822,2479.836167273511
SID100831,1917.3647104833722
SID100966,2541.4359258741933
SID101017,3167.284954727901
SID101252,3919.0375991540895
SID101283,2177.067538788765
SID10136,2481.6553473248696
SID101371,2561.916859594264
SID101455,2104.249143305372
SID10150,2934.9483286068144
SID10155,2019.376747139852
SID101851,4000.1936849661033
SID101934,1818.2206739706562
SID102009,1967.869771813129
SID102163,2453.879365401225
SID102172,1856.7379846379422
SID102376,2938.03367696313
SID10238,2562.703348410384
SID102594,3210.8001214501164
SID102783,2306.2681794348086
SID102858,2567.484039746812
SID103277,2342.7445354758697
SID103302,2984.7228777164555
SID103306,2175.834180382968
SID103346,3860.963965151981
SID103419,2543.0632727187876
SID103606,2324.201131716639
SID103666,1723.624792801395
SID103689,2036.2813318429316
SID103796,1687.6548666463295
SID103858,2360.050623357795
SID103891,2166.644479355091
SID10404,3701.7277342963566
SID104048,1916.2773770267218
SID10406,5664.398239624221
SID104206,3458.3132216230038
SID10423,2420.3242351008776
SID104579,2525.995358778117
SID104645,2560.58657125517
SID104714,2271.1721448250687
SID104874,3142.298216590236
SID104928,2240.248814989598
SID104934,2174.21640897063
SID104969,1886.1454212360172
SID104986,2171.245987761781
SID105104,1620.0433278077408
SID105162,2226.366361291645
SID105400,1935.6142611945643
SID10551,2233.9152075832726
SID105678,2982.2371998738827
SID105705,2827.7496363945493
SID106087,1902.0125293776227
SID106101,2131.849619221219
SID106182,1638.0577720101905
SID106198,2363.6349127538756
SID106319,2913.4202190616907
SID106381,1554.1220406933105
SID106413,1640.4519952110495
SID106746,2703.0362235169187
SID106899,2031.1833296809934
SID106948,1993.8119624570638
SID107113,2487.4729351900332
SID107158,1917.0748428817028
SID10716,2598.712763573327
SID107167,3173.798657592627
SID107186,2266.7457574630444
SID107435,2862.2902586834857
SID10752,2835.8270203185293
SID107764,2596.289011012719
SID107805,2161.700390359006
SID108078,1960.4202009817948
SID108110,2576.9700542697547
SID108370,2632.9067980521286
SID108437,2344.081944548341
SID108442,2334.2145646344566
SID108535,1517.8699697964485
SID10854,2109.9540914281415
SID108576,2983.226360660057
SID1086,3888.144883163202
SID108777,3641.814632923421
SID108786,3326.7516516088344
SID108800,1478.9465741802899
SID108855,2572.0374160460988
SID108874,2777.5077429914877
SID108922,2281.100663214692
SID108969,1668.7424813179694
SID109084,2342.6925087979166
SID109281,2192.325422835251
SID10931,2237.451563194682
SID109386,2471.8639319254166
SID109762,1982.081093151001
SID10985,4916.389475795005
SID109899,1791.9385206751913
SID109961,2637.3671365136206
SID110104,4463.936526239991
SID110128,2329.7526679714906
SID110208,2590.3402792736415
SID110272,2528.0529112073664
SID110279,1510.2082656563298
SID110463,2565.5068728344854
SID110512,2690.4931406383494
SID110565,2394.288687312278
SID110587,2374.6309583016096
SID11084,2660.317049212153
SID110876,2725.2549572974776
SID1109,2093.7330378641427
SID110901,2834.9291086580865
SID110915,3708.4962181376027
SID1110,2409.7610728148147
SID111029,2291.0193099717817
SID111274,2162.085612420253
SID111277,2749.2034750878784
SID111550,2522.3637193413847
SID11156,4020.6780532511957
SID111741,3870.5494412891194
SID111822,1991.650171903717
SID111972,2882.814568387458
SID112059,3150.4409696376365
SID11235,2041.3636993805753
SID112360,1615.0729317079836
SID112483,2477.3024534056453
SID112620,2323.136983030699
SID112643,2912.9735726043723
SID112783,1654.7752704188867
SID11303,2523.9518694925464
SID113233,3950.568774042021
SID113382,2212.013787937833
SID113486,2288.2530719440733
SID113654,2367.262312144009
SID113762,1947.0756289498938
SID113910,3656.424491426488
SID114059,2183.6103263698433
SID114080,4217.833563856829
SID11411,2744.307304735276
SID114238,2612.2785560973757
SID114519,3734.8304951663013
SID114531,2196.134391705239
SID114559,2756.8292661392734
SID114580,1764.2362293828226
SID114635,4931.983973328614
SID11464,3410.445888559103
SID114752,2416.58047263963
SID114925,2484.873125815299
SID114966,2162.7350971528576
SID115004,1792.8807693292847
SID115045,3160.341022093482
SID115088,2317.8471897005074
SID115178,1993.9439867515996
SID115190,4952.582149056396
SID115196,2442.498168866035
SID115215,2141.3243515439276
SID115226,1576.5304295777114
SID115325,3526.8966501116397
SID115525,5114.986631889456
SID115546,1990.1372970827504
SID115581,3016.0907327476743
SID115597,2613.376218780635
SID115644,2434.3636721099515
SID115678,3362.20814652136
SID115745,1976.7836006032542
SID11576,2447.583009629975
SID115837,3388.609051843065
SID115842,4832.235313693631
SID115996,2035.9583273047656
SID116065,3172.389552354443
SID116069,2479.898941866769
SID116128,2604.02575972878
SID116203,2522.0227616241864
SID116226,2588.7266793181834
